year,round,raceName,date,circuitName,country,location,lat,lng
2024,5,Chinese Grand Prix,2024-04-21,Shanghai International Circuit,China,Shanghai,31.3389,121.22
2024,6,Miami Grand Prix,2024-05-05,Miami International Autodrome,USA,Miami,25.9581,-80.2389
2024,7,Emilia Romagna Grand Prix,2024-05-19,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167
2024,8,Monaco Grand Prix,2024-05-26,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056
2024,9,Canadian Grand Prix,2024-06-09,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228
2024,10,Spanish Grand Prix,2024-06-23,Circuit de Barcelona-Catalunya,Spain,Montmeló,41.57,2.26111
2024,11,Austrian Grand Prix,2024-06-30,Red Bull Ring,Austria,Spielberg,47.2197,14.7647
2024,12,British Grand Prix,2024-07-07,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
2024,13,Hungarian Grand Prix,2024-07-21,Hungaroring,Hungary,Budapest,47.5789,19.2486
2024,14,Belgian Grand Prix,2024-07-28,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
2024,15,Dutch Grand Prix,2024-08-25,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
2024,16,Italian Grand Prix,2024-09-01,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
2024,17,Azerbaijan Grand Prix,2024-09-15,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533
2024,18,Singapore Grand Prix,2024-09-22,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864
2024,19,United States Grand Prix,2024-10-20,Circuit of the Americas,USA,Austin,30.1328,-97.6411
2024,20,Mexico City Grand Prix,2024-10-27,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907
2024,21,São Paulo Grand Prix,2024-11-03,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997
2024,22,Las Vegas Grand Prix,2024-11-23,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173
2024,23,Qatar Grand Prix,2024-12-01,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542
2024,24,Abu Dhabi Grand Prix,2024-12-08,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031
2025,1,Australian Grand Prix,2025-03-16,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968
2025,2,Chinese Grand Prix,2025-03-23,Shanghai International Circuit,China,Shanghai,31.3389,121.22
2025,3,Japanese Grand Prix,2025-04-06,Suzuka Circuit,Japan,Suzuka,34.8431,136.541
2025,4,Bahrain Grand Prix,2025-04-13,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106
2025,5,Saudi Arabian Grand Prix,2025-04-20,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044
2025,6,Miami Grand Prix,2025-05-04,Miami International Autodrome,USA,Miami,25.9581,-80.2389
2025,7,Emilia Romagna Grand Prix,2025-05-18,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167
2025,8,Monaco Grand Prix,2025-05-25,Circuit de Monaco,Monaco,Monte Carlo,43.7347,7.42056
2025,9,Spanish Grand Prix,2025-06-01,Circuit de Barcelona-Catalunya,Spain,Barcelona,41.57,2.26111
2025,10,Canadian Grand Prix,2025-06-15,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228
2025,11,Austrian Grand Prix,2025-06-29,Red Bull Ring,Austria,Spielberg,47.2197,14.7647
2025,12,British Grand Prix,2025-07-06,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694
2025,13,Belgian Grand Prix,2025-07-27,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139
2025,14,Hungarian Grand Prix,2025-08-03,Hungaroring,Hungary,Budapest,47.5789,19.2486
2025,15,Dutch Grand Prix,2025-08-31,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092
2025,16,Italian Grand Prix,2025-09-07,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111
2025,17,Azerbaijan Grand Prix,2025-09-21,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533
2025,18,Singapore Grand Prix,2025-10-05,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864
2025,19,United States Grand Prix,2025-10-19,Circuit of the Americas,USA,Austin,30.1328,-97.6411
2025,20,Mexico City Grand Prix,2025-10-26,Autódromo Hermanos Rodríguez,Mexico,Mexico City,19.4042,-99.0907
2025,21,São Paulo Grand Prix,2025-11-09,Autódromo José Carlos Pace,Brazil,São Paulo,-23.7036,-46.6997
2025,22,Las Vegas Grand Prix,2025-11-23,Las Vegas Strip Street Circuit,USA,Las Vegas,36.1147,-115.173
2025,23,Qatar Grand Prix,2025-11-30,Losail International Circuit,Qatar,Lusail,25.49,51.4542
2025,24,Abu Dhabi Grand Prix,2025-12-07,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031
2026,1,Australian Grand Prix,2026-03-08,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968
2026,2,Chinese Grand Prix,2026-03-15,Shanghai International Circuit,China,Shanghai,31.3389,121.22
2026,3,Japanese Grand Prix,2026-03-29,Suzuka Circuit,Japan,Suzuka,34.8431,136.541
